name,price,#search,#brand,categories,#colour,#1,#1num,#2,#2num,potential_hashtag
Vero Moda hooded rain jacket in black,38.0,coat,vero moda,coats,black,blackcoat,133000,veromodacoat,174,133174
New Look Tall trench coat in camel,49.99,coat,stradivarius,coats,brown,browncoat,36000,stradivariuscoat,1600,37600
New Look Tall trench coat in camel,49.99,coat,na kd,coats,brown,browncoat,36000,nakdcoat,408,36408
New Look Tall trench coat in camel,49.99,coat,new look tall,coats,brown,browncoat,36000,newlooktallcoat,0,36000
New Look Tall trench coat in camel,49.99,coat,new look,coats,brown,browncoat,36000,newlookcoat,888,36888
ASOS DESIGN Petite smart dad coat in black,75.0,coat,barney s original tall,coats,black,blackcoat,133000,barneysoriginaltallcoat,0,133000
ASOS DESIGN Petite smart dad coat in black,75.0,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
ASOS DESIGN Petite smart dad coat in black,75.0,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
ASOS DESIGN Petite smart dad coat in black,75.0,coat,asos petite,coats,black,blackcoat,133000,asospetitecoat,1,133001
ASOS DESIGN velour look belted padded coat in mink,39.5,coat,vero moda curve,coats,grey,greycoat,36000,veromodacurvecoat,0,36000
ASOS DESIGN velour look belted padded coat in mink,39.5,coat,columbia,coats,grey,greycoat,36000,columbiacoat,998,36998
ASOS DESIGN velour look belted padded coat in mink,39.5,coat,missguided,coats,grey,greycoat,36000,missguidedcoat,381,36381
ASOS DESIGN velour look belted padded coat in mink,39.5,coat,asos design,coats,grey,greycoat,36000,asosdesigncoat,3,36003
Topshop faux leather oversized biker jacket in washed brown,54.5,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
Topshop faux leather oversized biker jacket in washed brown,54.5,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
Topshop faux leather oversized biker jacket in washed brown,54.5,coat,topshop,coats,brown,browncoat,36000,topshopcoat,2600,38600
Topshop faux leather oversized biker jacket in washed brown,54.5,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
ASOS DESIGN heavyweight rubberised padded rain coat in sage,22.5,coat,new look,coats,green,greencoat,41000,newlookcoat,888,41888
ASOS DESIGN heavyweight rubberised padded rain coat in sage,22.5,coat,miss selfridge,coats,green,greencoat,41000,missselfridgecoat,75,41075
ASOS DESIGN heavyweight rubberised padded rain coat in sage,22.5,coat,pullbear,coats,green,greencoat,41000,pullbearcoat,4,41004
ASOS DESIGN heavyweight rubberised padded rain coat in sage,22.5,coat,asos design,coats,green,greencoat,41000,asosdesigncoat,3,41003
ASOS DESIGN Petite 'Original' denim jacket in midwash,12.6,jacket,vero moda,jackets,midwash,midwashjacket,0,veromodajacket,502,502
ASOS DESIGN Petite 'Original' denim jacket in midwash,12.6,jacket,columbia,jackets,midwash,midwashjacket,0,columbiajacket,40000,40000
ASOS DESIGN Petite 'Original' denim jacket in midwash,12.6,jacket,asos design,jackets,midwash,midwashjacket,0,asosdesignjacket,0,0
ASOS DESIGN Petite 'Original' denim jacket in midwash,12.6,jacket,asos petite,jackets,midwash,midwashjacket,0,asospetitejacket,0,0
Pimkie faux leather jacket in black,31.0,coat,asos design,coats,black,blackcoat,133000,asosdesigncoat,3,133003
Pimkie faux leather jacket in black,31.0,coat,pimkie,coats,black,blackcoat,133000,pimkiecoat,104,133104
Pimkie faux leather jacket in black,31.0,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
Columbia Flash Challenger cropped windbreaker jacket in light green Exclusive at ASOS,32.5,coat,asos weekend collective,coats,beige,beigecoat,30000,asosweekendcollectivecoat,0,30000
Columbia Flash Challenger cropped windbreaker jacket in light green Exclusive at ASOS,32.5,coat,asyou,coats,beige,beigecoat,30000,asyoucoat,0,30000
Columbia Flash Challenger cropped windbreaker jacket in light green Exclusive at ASOS,32.5,coat,asyou,coats,beige,beigecoat,30000,asyoucoat,0,30000
ASOS DESIGN overhead rain jacket in khaki,22.0,jacket,topshop,jackets,beige,beigejacket,9100,topshopjacket,2000,11100
ASOS DESIGN overhead rain jacket in khaki,22.0,jacket,asos 4505,jackets,beige,beigejacket,9100,asos4505jacket,0,9100
ASOS DESIGN overhead rain jacket in khaki,22.0,jacket,asos tall,jackets,beige,beigejacket,9100,asostalljacket,1,9101
ASOS DESIGN overhead rain jacket in khaki,22.0,jacket,asos design,jackets,beige,beigejacket,9100,asosdesignjacket,0,9100
New Look quilted belted trench coat in black,46.99,coat,river island,coats,black,blackcoat,133000,riverislandcoat,1100,134100
New Look quilted belted trench coat in black,46.99,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
New Look quilted belted trench coat in black,46.99,coat,columbia,coats,black,blackcoat,133000,columbiacoat,998,133998
New Look quilted belted trench coat in black,46.99,coat,new look,coats,black,blackcoat,133000,newlookcoat,888,133888
ASOS DESIGN high shine bomber jacket in cobalt,65.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
ASOS DESIGN high shine bomber jacket in cobalt,65.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
ASOS DESIGN high shine bomber jacket in cobalt,65.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
ASOS DESIGN high shine bomber jacket in cobalt,65.0,coat,asos design,coats,blue,bluecoat,59000,asosdesigncoat,3,59003
Stradivarius vinyl crackled faux leather jacket in black,28.0,coat,miss selfridge,coats,black,blackcoat,133000,missselfridgecoat,75,133075
Stradivarius vinyl crackled faux leather jacket in black,28.0,coat,asyou,coats,black,blackcoat,133000,asyoucoat,0,133000
Stradivarius vinyl crackled faux leather jacket in black,28.0,coat,stradivarius,coats,black,blackcoat,133000,stradivariuscoat,1600,134600
New Look mid length padded puffer coat with hood in dark khaki,54.99,coat,stradivarius,coats,green,greencoat,41000,stradivariuscoat,1600,42600
New Look mid length padded puffer coat with hood in dark khaki,54.99,coat,only curve,coats,green,greencoat,41000,onlycurvecoat,0,41000
New Look mid length padded puffer coat with hood in dark khaki,54.99,coat,pullbear,coats,green,greencoat,41000,pullbearcoat,4,41004
New Look mid length padded puffer coat with hood in dark khaki,54.99,coat,new look,coats,green,greencoat,41000,newlookcoat,888,41888
ASOS DESIGN Curve herringbone shacket in oatmeal,48.0,coat,urban bliss,coats,beige,beigecoat,30000,urbanblisscoat,1,30001
ASOS DESIGN Curve herringbone shacket in oatmeal,48.0,coat,adidas originals,coats,beige,beigecoat,30000,adidasoriginalscoat,2,30002
ASOS DESIGN Curve herringbone shacket in oatmeal,48.0,coat,asos curve,coats,beige,beigecoat,30000,asoscurvecoat,4,30004
ASOS DESIGN Curve herringbone shacket in oatmeal,48.0,coat,asyou,coats,beige,beigecoat,30000,asyoucoat,0,30000
Dickies New Alatna long puffer jacket in lilac,67.5,coat,pullbear,coats,purple,purplecoat,10000,pullbearcoat,4,10004
Dickies New Alatna long puffer jacket in lilac,67.5,coat,topshop,coats,purple,purplecoat,10000,topshopcoat,2600,12600
Dickies New Alatna long puffer jacket in lilac,67.5,coat,asos design,coats,purple,purplecoat,10000,asosdesigncoat,3,10003
Dickies New Alatna long puffer jacket in lilac,67.5,coat,dickies,coats,purple,purplecoat,10000,dickiescoat,98,10098
Bershka athletic track jacket in navy,35.99,coat,asos 4505,coats,black,blackcoat,133000,asos4505coat,0,133000
Bershka athletic track jacket in navy,35.99,coat,new look,coats,black,blackcoat,133000,newlookcoat,888,133888
Bershka athletic track jacket in navy,35.99,coat,bershka,coats,black,blackcoat,133000,bershkacoat,2000,135000
COLLUSION shaggy faux mongolian fur jacket in cream,65.99,coat,asos design,coats,beige,beigecoat,30000,asosdesigncoat,3,30003
COLLUSION shaggy faux mongolian fur jacket in cream,65.99,coat,topshop,coats,beige,beigecoat,30000,topshopcoat,2600,32600
COLLUSION shaggy faux mongolian fur jacket in cream,65.99,coat,pullbear,coats,beige,beigecoat,30000,pullbearcoat,4,30004
COLLUSION shaggy faux mongolian fur jacket in cream,65.99,coat,collusion,coats,beige,beigecoat,30000,collusioncoat,10,30010
Topshop longline chuck on coat in black,70.0,coat,new look petite,coats,black,blackcoat,133000,newlookpetitecoat,1,133001
Topshop longline chuck on coat in black,70.0,coat,pimkie,coats,black,blackcoat,133000,pimkiecoat,104,133104
Topshop longline chuck on coat in black,70.0,coat,asos petite,coats,black,blackcoat,133000,asospetitecoat,1,133001
Topshop longline chuck on coat in black,70.0,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
Aria Cove vegan leather trench coat in khaki,95.0,coat,asos tall,coats,beige,beigecoat,30000,asostallcoat,0,30000
Aria Cove vegan leather trench coat in khaki,95.0,coat,only,coats,beige,beigecoat,30000,onlycoat,265,30265
Aria Cove vegan leather trench coat in khaki,95.0,coat,bershka,coats,beige,beigecoat,30000,bershkacoat,2000,32000
Aria Cove vegan leather trench coat in khaki,95.0,coat,aria cove,coats,beige,beigecoat,30000,ariacovecoat,0,30000
Columbia Puffect cropped jacket in chalk Exclusive at ASOS,61.0,jacket,topshop,jackets,chalk,chalkjacket,11,topshopjacket,2000,2011
Columbia Puffect cropped jacket in chalk Exclusive at ASOS,61.0,jacket,collusion,jackets,chalk,chalkjacket,11,collusionjacket,19,30
Columbia Puffect cropped jacket in chalk Exclusive at ASOS,61.0,jacket,columbia,jackets,chalk,chalkjacket,11,columbiajacket,40000,40011
Columbia Puffect cropped jacket in chalk Exclusive at ASOS,61.0,jacket,stradivarius,jackets,chalk,chalkjacket,11,stradivariusjacket,1700,1711
ASOS DESIGN cropped padded jacket in baby blue,18.5,jacket,miss selfridge,jackets,blue,bluejacket,75000,missselfridgejacket,26,75026
ASOS DESIGN cropped padded jacket in baby blue,18.5,jacket,asos curve,jackets,blue,bluejacket,75000,asoscurvejacket,6,75006
ASOS DESIGN cropped padded jacket in baby blue,18.5,jacket,asos design,jackets,blue,bluejacket,75000,asosdesignjacket,0,75000
Pimkie puffer coat in coffee,35.5,coat,noisy may,coats,coffee,coffeecoat,202,noisymaycoat,7,209
Pimkie puffer coat in coffee,35.5,coat,pimkie,coats,coffee,coffeecoat,202,pimkiecoat,104,306
Pimkie puffer coat in coffee,35.5,coat,topshop,coats,coffee,coffeecoat,202,topshopcoat,2600,2802
Pimkie puffer coat in coffee,35.5,coat,bershka,coats,coffee,coffeecoat,202,bershkacoat,2000,2202
Bershka tailored double breasted coat in ecru,79.99,coat,asos petite,coats,beige,beigecoat,30000,asospetitecoat,1,30001
Bershka tailored double breasted coat in ecru,79.99,coat,vans,coats,beige,beigecoat,30000,vanscoat,147,30147
Bershka tailored double breasted coat in ecru,79.99,coat,bershka,coats,beige,beigecoat,30000,bershkacoat,2000,32000
Vila quilted tie waist jacket in cream,25.5,coat,fashion union,coats,cement,cementcoat,77,fashionunioncoat,0,77
Vila quilted tie waist jacket in cream,25.5,coat,asos petite,coats,cement,cementcoat,77,asospetitecoat,1,78
Vila quilted tie waist jacket in cream,25.5,coat,asos design,coats,cement,cementcoat,77,asosdesigncoat,3,80
Vila quilted tie waist jacket in cream,25.5,coat,vila,coats,cement,cementcoat,77,vilacoat,66,143
ASOS DESIGN Petite trench coat with faux leather hood in black,72.0,coat,asos petite,coats,black,blackcoat,133000,asospetitecoat,1,133001
ASOS DESIGN Petite trench coat with faux leather hood in black,72.0,coat,asos petite,coats,black,blackcoat,133000,asospetitecoat,1,133001
ASOS DESIGN Petite trench coat with faux leather hood in black,72.0,coat,topshop,coats,black,blackcoat,133000,topshopcoat,2600,135600
Berghaus Dean Street unisex Single Point overhead jacket in brown,55.0,coat,topshop,coats,brown,browncoat,36000,topshopcoat,2600,38600
Berghaus Dean Street unisex Single Point overhead jacket in brown,55.0,coat,4th reckless,coats,brown,browncoat,36000,4threcklesscoat,0,36000
Berghaus Dean Street unisex Single Point overhead jacket in brown,55.0,coat,asos design,coats,brown,browncoat,36000,asosdesigncoat,3,36003
Berghaus Dean Street unisex Single Point overhead jacket in brown,55.0,coat,berghaus,coats,brown,browncoat,36000,berghauscoat,62,36062
Topshop cord zip through jacket in khaki,39.0,coat,asos 4505,coats,beige,beigecoat,30000,asos4505coat,0,30000
Topshop cord zip through jacket in khaki,39.0,coat,topshop,coats,beige,beigecoat,30000,topshopcoat,2600,32600
Topshop cord zip through jacket in khaki,39.0,coat,topshop,coats,beige,beigecoat,30000,topshopcoat,2600,32600
Topshop cord zip through jacket in khaki,39.0,coat,barneys originals,coats,beige,beigecoat,30000,barneysoriginalscoat,0,30000
ASOS DESIGN Petite faux leather puffer gilet in black,27.0,gilet,asos design,jackets,black,blackgilet,990,asosdesigngilet,1,991
ASOS DESIGN Petite faux leather puffer gilet in black,27.0,gilet,stradivarius,jackets,black,blackgilet,990,stradivariusgilet,5,995
ASOS DESIGN Petite faux leather puffer gilet in black,27.0,gilet,asos petite,jackets,black,blackgilet,990,asospetitegilet,0,990
ASOS DESIGN Petite faux leather puffer gilet in black,27.0,gilet,topshop,jackets,black,blackgilet,990,topshopgilet,17,1007
Under Armour Training Meridian jacket in black,65.0,jacket,topshop,jackets,black,blackjacket,232000,topshopjacket,2000,234000
Under Armour Training Meridian jacket in black,65.0,jacket,jdy,jackets,black,blackjacket,232000,jdyjacket,5,232005
Under Armour Training Meridian jacket in black,65.0,jacket,pimkie,jackets,black,blackjacket,232000,pimkiejacket,404,232404
Under Armour Training Meridian jacket in black,65.0,jacket,under armour,jackets,black,blackjacket,232000,underarmourjacket,1400,233400
